Key|Name|Region|Altitude_m|Country|Lat|Lng|Type|Notes|City_Col_Index|Col_Index|Temp_Seasonality|Rain_Seasonality|AHT|AHT_Max|AHT_Min|AR_Total|Record_Temps
Abidjan|Abidjan|Africa|75|Côte d'Ivoire|"5°20'28.0"" N"|"4°1'41.0"" W"|2|Tropical savanna climate|1|DJ|Hot in all seasons|moderate, seasonal rainfall|30.2|31.8|27.5|1937.6|
Abu_Dhabi|Abu Dhabi|Central Asia|14|United Arab Emirates|"24°28'0.1"" N"|"54°22'0.1"" E"|2|Hot desert climate|2|DK|Hot but very seasonal temperatures|arid with highly seasonal rain|34.5|42.9|24.1|57.1|49.2
Acapulco|Acapulco|North America|30|Mexico|"16°51'0.0"" N"|"99°55'0.1"" W"|2|Tropical savanna climate|3|DL|||31.3|32.3|30.4|1336.8|
Accra|Accra|Africa|103|Ghana|"5°32'60.0"" N"|"0°13'0.0"" W"|2|Tropical monsoon climate|4|DM|||29.7|31|27|725|
Ad_Dammam|Ad Dammam|Central Asia|5|Saudi Arabia|"26°25'32.9"" N"|"50°6'51.1"" E"|2|Hot desert climate|5|DN|||33.6|44|21|90.1|51
Ad_Diwaniyah|Ad Diwaniyah|Central Asia|17|Iraq|"31°59'16.1"" N"|"44°55'32.2"" E"|2|Hot semi-arid climate|6|DO|||30.4|43|15|120|
Adak,_Alaska|Adak, Alaska|North America|50|United States of America|"51°53'0"" N"|"176°38'42"" W"|3|Subarctic (cool summer, wet all year) climate|7|DP|||7.1|13.2|2.8|1666.76|
Adamstown,_Pitcairn_Islands|Adamstown, Pitcairn Islands|South America|330|British Overseas Territory|"25°4'0"" S"|"130°6'0"" W"|3|Tropical monsoon climate|8|DQ|||25.2|28|22|1699.2|
Adana|Adana|Central Asia|88|Turkey|"37°0'6.1"" N"|"35°19'44.0"" E"|2|Hot summer Mediterranean climate|9|DR|||25.3|34.5|15.1|690.1|44
Addis_Abeba|Addis Abeba|Africa|2326|Ethiopia|"9°1'60.0"" N"|"38°42'0.0"" E"|2|Subtropical highland climate|10|DS|||23|25|20|1165|
Adelaide|Adelaide|South-East Asia|72|Australia|"34°55'59.9"" S"|"138°35'60.0"" E"|2|Hot summer Mediterranean climate|11|DT|||22.3|29.4|15.3|543.9|45.7
Aden|Aden|Central Asia|126|Yemen|"12°46'45.8"" N"|"45°2'12.1"" E"|2|Hot desert climate|12|DU|||32.6|37|28|40|
Adiyaman|Adiyaman|Central Asia|646|Turkey|"37°45'33.1"" N"|"38°16'41.9"" E"|2|Continental Mediterranean climate|13|DV|||22.9|37.7|8.5|707.3|
Agadir|Agadir|Africa|269|Morocco|"30°23'60.0"" N"|"9°35'60.0"" W"|2|Hot semi-arid climate|14|DW|||23.4|26.4|20.4|291.9|
Agra|Agra|South Asia|171|India|"27°10'59.9"" N"|"78°1'0.1"" E"|2|Hot semi-arid climate|15|DX|||32.6|41.6|22.3|724.8|48.6
Ahvaz|Ahvaz|Central Asia|39|Iran|"31°19'45.1"" N"|"48°41'28.0"" E"|2|Hot desert climate|16|DY|||33|46.3|17.5|209.2|54
Aidin|Aidin|Central Asia|242|Turkey|"37°50'39.8"" N"|"27°50'44.9"" E"|2|Hot summer Mediterranean climate|17|DZ|||24.5|36.2|13.4|651|
Ajmer|Ajmer|South Asia|543|India|"26°26'60.0"" N"|"74°37'59.9"" E"|2|Hot desert climate|18|EA|||31.6|39.7|22.9|529|
Akola|Akola|South Asia|282|India|"20°43'59.9"" N"|"77°0'0.0"" E"|2|Tropical savanna climate|19|EB|||34.3|42.5|29.5|802.3|46.4
Al_Basrah|Al Basrah|Central Asia|11|Iraq|"30°29'39.1"" N"|"47°49'9.1"" E"|2|Hot desert climate|20|EC|||31.2|41.8|17.7|152|
Algiers|Algiers|Africa|1|Algeria|"36°45'47.2"" N"|"3°3'2.0"" E"|2|Hot summer Mediterranean climate|21|ED|||23.8|32.3|16.7|517.9|47.5
Al_Kuwait|Al Kuwait|Central Asia|12|Kuwait|"29°22'10.9"" N"|"47°58'41.9"" E"|2|Hot desert climate|22|EE|||31.7|43.7|17.3|116.2|52.1
Albuquerque|Albuquerque|North America|1600|United States of America|"35°5'3.8"" N"|"106°39'3.6"" W"|2|Cold semi-arid climate|23|EF|||20.4|32.3|7.8|240.1|
Aleppo|Aleppo|Central Asia|264|Syrian Arab Republic|"36°12'10.1"" N"|"37°9'31.0"" E"|2|Cold semi-arid climate|24|EG|||23.8|36.2|10.3|328.8|47
